district,date_start,date_end,dengue_A,dengue_B,dysentery_A,dysentery_B,encephalitis_A,encephalitis_B,enteric_fever_A,enteric_fever_B,food_poisoning_A,food_poisoning_B,leptospirosis_A,leptospirosis_B,typhus_f_A,typhus_f_B,viral_hep_A,viral_hep_B,rabies_A,rabies_B,chickenpox_A,chickenpox_B,meningitis_A,meningitis_B,leishmania_A,leishmania_B,tuberculosis_A,tuberculosis_B,wrcd_A,wrcd_B,lepto,dengue
Kilinochchi,2025-06-28,2025-07-04,1,64,0,10,0,0,0,4,0,5,0,59,0,11,0,1,0,0,0,4,0,0,0,1,1,31,100,100,0,1
Mannar,2025-06-28,2025-07-04,0,112,0,5,0,0,0,0,0,2,0,20,1,14,0,0,0,0,1,17,0,12,0,1,1,25,100,100,0,0
Vavuniya,2025-06-28,2025-07-04,3,56,0,9,0,0,0,1,0,36,0,61,0,7,0,0,0,0,0,31,0,14,1,14,0,28,100,100,0,3
Mullaitivu,2025-06-28,2025-07-04,3,46,0,5,0,0,0,1,0,23,1,50,0,7,0,0,0,0,1,20,0,5,0,2,0,18,100,100,1,3
Batticaloa,2025-06-28,2025-07-04,16,1444,0,90,1,12,0,0,0,121,2,73,0,1,0,17,0,0,2,123,0,24,0,1,3,79,86,100,2,16
Ampara,2025-06-28,2025-07-04,12,417,0,49,0,13,0,0,3,29,6,207,0,3,0,5,0,2,4,200,3,55,0,16,3,105,186,200,6,12
Trincomalee,2025-06-28,2025-07-04,12,839,0,30,0,2,0,1,1,28,0,103,0,9,0,5,0,0,2,78,0,10,1,4,4,68,100,100,0,12
Kurunegala,2025-06-28,2025-07-04,70,911,2,30,0,12,0,1,0,25,14,468,0,22,0,6,0,1,17,433,7,94,9,307,6,177,100,100,14,70
Puttalam,2025-06-28,2025-07-04,7,406,2,20,0,3,0,0,0,5,9,186,2,30,0,1,0,1,5,97,3,56,2,20,9,101,100,100,9,7
Anuradhapura,2025-06-28,2025-07-04,17,377,1,24,0,6,0,3,0,17,7,280,1,16,0,10,0,0,7,192,2,44,21,405,4,146,70,100,7,17
Polonnaruwa,2025-06-28,2025-07-04,10,199,0,12,0,4,0,1,2,8,4,193,0,1,0,17,0,0,2,105,0,11,11,217,0,45,100,90,4,10
Badulla,2025-06-28,2025-07-04,17,460,1,21,0,8,0,3,0,2,8,187,0,17,6,31,0,0,12,246,0,44,4,28,3,159,88,100,8,17
Monaragala,2025-06-28,2025-07-04,27,537,1,13,0,3,0,0,0,4,4,389,0,23,2,18,0,0,4,88,4,34,7,111,5,67,64,100,4,27
Ratnapura,2025-06-28,2025-07-04,120,3055,1,78,1,6,0,3,11,37,32,903,1,19,0,8,0,1,9,251,3,69,5,113,9,219,85,100,32,120
Kegalle,2025-06-28,2025-07-04,35,882,0,43,0,11,0,9,2,31,13,438,0,8,2,11,0,0,25,495,3,68,1,19,4,155,100,100,13,35
Colombo,2025-06-21,2025-06-27,316,6528,1,18,0,4,0,6,0,5,9,241,0,5,0,11,0,0,17,281,1,33,0,1,42,969,100,100,9,316
Gampaha,2025-06-21,2025-06-27,217,4197,1,26,0,24,0,1,2,67,22,442,0,8,3,10,0,0,20,462,6,83,0,22,27,548,100,100,22,217
Kalutara,2025-06-21,2025-06-27,62,1274,1,25,0,6,0,10,0,28,14,363,0,1,0,4,0,0,19,482,0,24,0,1,17,308,100,100,14,62
Kandy,2025-06-21,2025-06-27,192,1974,0,36,0,3,0,5,2,19,10,153,1,32,0,6,0,0,12,248,1,15,2,38,12,354,96,100,10,192
Matale,2025-06-21,2025-06-27,24,752,1,15,0,1,0,0,1,50,11,138,0,3,0,6,0,0,0,69,2,6,17,148,7,81,100,100,11,24
Nuwara-Eliya,2025-06-21,2025-06-27,20,152,1,42,0,4,0,4,0,45,6,65,3,33,0,0,0,0,4,134,2,15,0,0,2,138,100,100,6,20
Galle,2025-06-21,2025-06-27,73,1072,0,24,0,3,0,1,2,39,20,444,4,46,0,7,0,1,17,412,6,96,0,3,3,243,95,100,20,73
Hambantota,2025-06-21,2025-06-27,22,467,0,16,0,4,0,0,1,4,5,234,0,19,1,4,0,0,2,190,0,13,5,156,9,73,100,100,5,22
Matara,2025-06-21,2025-06-27,39,891,0,8,0,2,0,1,1,5,17,274,0,11,2,9,0,0,11,228,0,24,0,57,1,83,100,100,17,39
Jaffna,2025-06-21,2025-06-27,24,749,1,48,0,2,0,10,0,30,1,120,10,358,0,2,0,1,3,232,0,16,0,0,4,110,100,93,1,24
Kilinochchi,2025-06-21,2025-06-27,0,63,0,10,0,0,0,4,0,5,0,59,0,11,0,1,0,0,0,4,0,0,0,1,1,30,100,100,0,0
Mannar,2025-06-21,2025-06-27,4,112,0,5,0,0,0,0,0,2,0,20,0,13,0,0,0,0,0,16,0,12,1,1,0,24,100,100,0,4
Vavuniya,2025-06-21,2025-06-27,4,53,1,9,0,0,0,1,0,36,2,61,0,7,0,0,0,0,4,31,1,14,1,13,1,28,100,100,2,4
Mullaitivu,2025-06-21,2025-06-27,1,43,0,5,0,0,0,1,0,23,1,49,0,7,0,0,0,0,0,19,0,5,0,2,0,18,100,100,1,1
Batticaloa,2025-06-21,2025-06-27,40,1428,2,90,0,11,0,0,0,121,3,71,0,1,1,17,0,0,4,121,0,24,0,1,5,76,92,100,3,40
Ampara,2025-06-21,2025-06-27,12,405,2,49,0,13,0,0,0,26,5,201,0,3,0,5,0,2,12,196,2,52,0,16,3,102,200,200,5,12
Trincomalee,2025-06-21,2025-06-27,16,827,2,30,0,2,0,1,0,27,0,103,0,9,0,5,0,0,3,76,0,10,0,3,7,64,100,100,0,16
Kurunegala,2025-06-21,2025-06-27,77,841,1,28,0,12,0,1,0,25,15,454,1,22,2,6,0,1,23,416,6,87,20,298,5,171,100,100,15,77
Puttalam,2025-06-21,2025-06-27,10,399,1,18,0,3,0,0,0,5,2,177,0,28,0,1,0,1,2,92,1,53,0,18,0,92,100,100,2,10
Anuradhapura,2025-06-21,2025-06-27,8,360,0,23,0,6,0,3,0,17,2,273,0,15,0,10,0,0,2,185,0,42,10,384,6,142,100,100,2,8
Polonnaruwa,2025-06-21,2025-06-27,21,189,3,12,1,4,0,1,0,6,10,189,0,1,1,17,0,0,5,103,0,11,14,206,3,45,100,90,10,21
Badulla,2025-06-21,2025-06-27,31,443,1,20,0,8,0,3,0,2,2,179,1,17,2,25,0,0,11,234,2,44,2,24,7,156,100,100,2,31
Monaragala,2025-06-21,2025-06-27,24,510,0,12,0,3,0,0,0,4,10,385,0,23,2,16,0,0,3,84,0,30,2,104,2,62,100,100,10,24
Ratnapura,2025-06-21,2025-06-27,118,2935,2,77,0,5,0,3,4,26,26,871,1,18,1,8,0,1,4,242,3,66,0,108,8,210,100,100,26,118
Kegalle,2025-06-21,2025-06-27,48,847,1,43,1,11,0,9,1,29,32,425,0,8,0,9,0,0,26,470,7,65,0,18,12,151,100,100,32,48
Colombo,2025-06-14,2025-06-20,279,6212,1,17,1,4,0,6,0,5,8,232,0,5,0,11,0,0,8,264,1,32,0,1,32,927,94,100,8,279
Gampaha,2025-06-14,2025-06-20,207,3980,0,25,0,24,0,1,0,65,24,420,0,8,0,7,0,0,7,442,4,77,0,22,11,521,93,100,24,207
Kalutara,2025-06-14,2025-06-20,74,1212,0,24,0,6,0,10,0,28,9,349,0,1,0,4,0,0,17,463,0,24,0,1,21,291,100,100,9,74
Kandy,2025-06-14,2025-06-20,118,1782,2,36,0,3,1,5,0,17,9,143,2,31,0,6,0,0,5,236,0,14,2,36,6,342,100,100,9,118
Matale,2025-06-14,2025-06-20,17,728,0,14,0,1,0,0,1,49,7,127,0,3,0,6,0,0,3,69,1,4,4,131,3,74,100,100,7,17
Nuwara-Eliya,2025-06-14,2025-06-20,17,132,2,41,0,4,0,4,0,45,1,59,4,30,0,0,0,0,8,130,3,13,0,0,7,136,100,100,1,17
Galle,2025-06-14,2025-06-20,44,999,1,24,0,3,0,1,0,37,18,424,2,42,0,7,0,1,11,395,6,90,0,3,8,240,85,100,18,44
Hambantota,2025-06-14,2025-06-20,15,445,1,16,0,4,0,0,0,3,5,229,2,19,0,3,0,0,3,188,0,13,7,151,0,64,100,100,5,15
Matara,2025-06-14,2025-06-20,70,852,0,8,0,2,0,1,0,4,7,257,0,11,0,7,0,0,5,217,0,24,0,57,2,82,100,100,7,70
Jaffna,2025-06-14,2025-06-20,25,725,1,47,0,2,0,10,3,30,0,119,6,348,0,2,0,1,6,229,0,16,0,0,4,106,100,93,0,25
Kilinochchi,2025-06-14,2025-06-20,2,63,1,10,0,0,0,4,0,5,1,59,0,11,0,1,0,0,1,4,0,0,0,1,2,29,100,100,1,2
Mannar,2025-06-14,2025-06-20,2,108,0,5,0,0,0,0,0,2,0,20,1,13,0,0,0,0,1,16,0,12,0,0,0,24,100,100,0,2
Vavuniya,2025-06-14,2025-06-20,2,49,0,8,0,0,0,1,3,36,1,59,0,7,0,0,0,0,1,27,0,13,0,12,2,27,100,100,1,2
Mullaitivu,2025-06-14,2025-06-20,2,42,0,5,0,0,0,1,0,23,0,48,0,7,0,0,0,0,1,19,0,5,0,2,0,18,100,100,0,2
Batticaloa,2025-06-14,2025-06-20,30,1388,0,88,0,11,0,0,1,121,3,68,0,1,0,16,0,0,7,117,3,24,0,1,3,71,100,100,3,30
Ampara,2025-06-14,2025-06-20,11,393,2,47,1,13,0,0,4,26,3,196,0,3,0,5,2,2,6,184,1,50,1,16,4,99,192,200,3,11
Trincomalee,2025-06-14,2025-06-20,16,811,0,28,0,2,0,1,1,27,3,103,0,9,0,5,0,0,1,73,0,10,0,3,0,57,100,100,3,16
Kurunegala,2025-06-14,2025-06-20,68,764,0,27,1,12,0,1,0,25,13,439,1,21,1,4,0,1,17,393,4,81,18,278,6,166,63,100,13,68
Puttalam,2025-06-14,2025-06-20,10,389,4,17,0,3,0,0,0,5,3,175,0,28,0,1,0,1,1,90,0,52,1,18,0,92,92,100,3,10
Anuradhapura,2025-06-14,2025-06-20,7,352,0,23,0,6,0,3,0,17,4,271,0,15,0,10,0,0,3,183,0,42,26,374,10,136,64,100,4,7
Polonnaruwa,2025-06-14,2025-06-20,12,168,0,9,0,3,0,1,1,6,12,179,0,1,1,16,0,0,2,98,0,11,8,192,2,42,100,90,12,12
Badulla,2025-06-14,2025-06-20,24,412,0,19,0,8,0,3,2,2,7,177,0,16,0,23,0,0,8,223,4,42,1,22,6,149,100,100,7,24
Monaragala,2025-06-14,2025-06-20,26,486,1,12,0,3,0,0,0,4,7,375,0,23,0,14,0,0,2,81,1,30,2,102,4,60,100,100,7,26
Ratnapura,2025-06-14,2025-06-20,145,2817,2,75,0,5,0,3,0,22,33,845,1,17,0,7,0,1,5,238,1,63,1,108,10,202,85,100,33,145
Kegalle,2025-06-14,2025-06-20,46,799,0,42,0,10,0,9,0,28,20,393,0,8,0,9,0,0,16,444,2,58,1,18,0,139,100,100,20,46
Colombo,2025-06-07,2025-06-13,245,5933,1,16,0,3,0,6,0,5,4,224,0,5,0,11,0,0,5,256,2,31,0,1,34,895,96,100,4,245
Gampaha,2025-06-07,2025-06-13,228,3773,2,25,1,24,0,1,2,65,25,396,0,8,0,7,0,0,16,435,3,73,0,22,39,510,100,100,25,228
Kalutara,2025-06-07,2025-06-13,68,1138,0,24,0,6,0,10,2,28,16,340,0,1,0,4,0,0,24,446,0,24,0,1,18,270,89,100,16,68
Kandy,2025-06-07,2025-06-13,126,1664,1,34,0,3,0,4,1,17,5,134,0,29,0,6,0,0,7,231,2,14,0,34,9,336,96,100,5,126
Matale,2025-06-07,2025-06-13,24,711,0,14,0,1,0,0,1,48,7,120,0,3,1,6,0,0,6,66,1,3,16,127,4,71,100,100,7,24
Nuwara-Eliya,2025-06-07,2025-06-13,9,115,3,39,0,4,0,4,0,45,2,58,1,26,0,0,0,0,5,122,0,10,0,0,6,129,100,100,2,9
Galle,2025-06-07,2025-06-13,49,955,0,23,0,3,0,1,1,37,27,406,3,40,0,7,0,1,27,384,0,84,0,3,10,232,70,100,27,49
Hambantota,2025-06-07,2025-06-13,24,430,1,15,0,4,0,0,0,3,6,224,3,17,0,3,0,0,2,185,0,13,6,144,0,64,100,100,6,24
Matara,2025-06-07,2025-06-13,34,782,1,8,0,2,0,1,0,4,16,250,0,11,1,7,0,0,11,212,2,24,2,57,3,80,82,100,16,34
Jaffna,2025-06-07,2025-06-13,26,700,2,46,0,2,0,10,2,27,1,119,8,342,0,2,0,1,4,223,0,16,0,0,9,102,93,93,1,26
Kilinochchi,2025-06-07,2025-06-13,1,61,1,9,0,0,0,4,0,5,2,58,0,11,0,1,0,0,0,3,0,0,0,1,2,27,100,100,2,1
Mannar,2025-06-07,2025-06-13,3,106,1,5,0,0,0,0,0,2,1,20,1,12,0,0,0,0,0,15,0,12,0,0,2,24,100,100,1,3
Vavuniya,2025-06-07,2025-06-13,5,47,1,8,0,0,0,1,5,33,2,58,0,7,0,0,0,0,3,26,0,13,1,12,0,25,100,100,2,5
Mullaitivu,2025-06-07,2025-06-13,4,40,1,5,0,0,0,1,0,23,1,48,0,7,0,0,0,0,1,18,0,5,0,2,0,18,100,100,1,4
Batticaloa,2025-06-07,2025-06-13,59,1358,2,88,0,11,0,0,38,120,4,65,0,1,0,16,0,0,2,110,2,21,0,1,4,68,93,100,4,59
Ampara,2025-06-07,2025-06-13,28,382,2,45,1,12,0,0,0,22,13,193,0,3,0,5,0,0,3,178,3,49,0,15,5,95,171,200,13,28
Trincomalee,2025-06-07,2025-06-13,40,795,2,28,0,2,0,1,0,26,8,100,0,9,0,5,0,0,1,72,0,10,0,3,10,57,100,100,8,40
Kurunegala,2025-06-07,2025-06-13,43,696,1,27,0,11,0,1,0,25,11,426,0,20,0,3,0,1,7,376,4,77,13,260,5,160,50,100,11,43
Puttalam,2025-06-07,2025-06-13,17,379,1,13,0,3,0,0,0,5,6,172,0,28,0,1,0,1,2,89,4,52,0,17,0,92,92,100,6,17
Anuradhapura,2025-06-07,2025-06-13,10,345,1,23,0,6,0,3,1,17,5,267,1,15,0,10,0,0,10,180,0,42,18,348,4,126,73,100,5,10
Polonnaruwa,2025-06-07,2025-06-13,15,156,0,9,0,3,0,1,0,5,19,167,0,1,0,15,0,0,1,96,0,11,10,184,3,40,100,90,19,15
Badulla,2025-06-07,2025-06-13,24,388,1,19,0,8,0,3,0,0,2,170,1,16,2,23,0,0,7,215,2,38,1,21,16,143,100,100,2,24
Monaragala,2025-06-07,2025-06-13,29,460,0,11,0,3,0,0,0,4,11,368,0,23,2,14,0,0,2,79,2,29,5,100,1,56,56,100,11,29
Ratnapura,2025-06-07,2025-06-13,172,2672,0,73,0,5,0,3,0,22,35,812,0,16,1,7,0,1,8,233,1,62,7,107,3,192,90,100,35,172
Kegalle,2025-06-07,2025-06-13,54,753,3,42,1,10,0,9,1,28,18,373,1,8,0,9,0,0,20,428,1,56,1,17,14,139,91,100,18,54
Colombo,2025-05-31,2025-06-06,302,5688,0,15,0,3,2,6,0,5,12,220,0,5,1,11,0,0,5,251,0,29,0,1,37,861,94,100,12,302
Gampaha,2025-05-31,2025-06-06,197,3545,1,23,1,23,0,1,8,63,33,371,1,8,1,7,0,0,29,419,7,70,2,22,20,471,100,100,33,197
Kalutara,2025-05-31,2025-06-06,71,1070,0,24,2,8,0,8,0,26,17,324,0,1,0,4,0,0,30,421,1,24,0,1,5,252,96,200,17,71
Kandy,2025-05-31,2025-06-06,105,1538,1,33,1,3,0,4,4,16,3,129,0,29,0,6,0,0,8,224,0,12,1,34,15,327,96,100,3,105
Matale,2025-05-31,2025-06-06,20,687,0,14,0,1,0,0,1,47,5,113,0,3,0,5,0,0,2,60,0,2,3,111,2,67,100,100,5,20
Nuwara-Eliya,2025-05-31,2025-06-06,7,106,2,36,0,4,0,4,0,45,1,56,0,25,0,0,0,0,9,117,0,10,0,0,5,123,100,100,1,7
Galle,2025-05-31,2025-06-06,44,906,2,23,0,3,0,1,3,36,16,379,0,37,0,7,0,1,11,357,8,84,1,3,10,222,95,100,16,44
Hambantota,2025-05-31,2025-06-06,8,406,2,14,0,4,0,0,0,3,2,218,0,14,0,3,0,0,1,183,0,13,2,138,3,64,100,100,2,8
Matara,2025-05-31,2025-06-06,26,748,0,7,0,2,0,1,0,4,7,234,1,11,0,6,0,0,6,201,0,22,5,55,2,77,71,100,7,26
Jaffna,2025-05-31,2025-06-06,20,674,0,44,0,2,0,10,0,25,1,118,7,334,0,2,0,1,3,219,0,16,0,0,3,93,86,93,1,20
Kilinochchi,2025-05-31,2025-06-06,2,60,0,8,0,0,0,4,1,5,0,56,0,11,0,1,0,0,0,3,0,0,0,1,1,25,100,100,0,2
Mannar,2025-05-31,2025-06-06,2,103,0,4,0,0,0,0,0,2,0,19,0,11,0,0,0,0,0,15,0,12,0,0,0,22,80,100,0,2
Vavuniya,2025-05-31,2025-06-06,1,42,0,7,0,0,0,1,0,28,0,56,0,7,0,0,0,0,2,23,0,13,0,11,0,25,100,100,0,1
Mullaitivu,2025-05-31,2025-06-06,1,36,0,4,0,0,0,1,21,23,1,47,0,7,0,0,0,0,0,17,1,5,1,2,3,18,100,100,1,1
Batticaloa,2025-05-31,2025-06-06,52,1298,1,86,0,11,0,0,3,82,3,61,0,1,0,16,0,0,6,108,0,19,0,1,2,64,93,100,3,52
Ampara,2025-05-31,2025-06-06,14,354,5,43,1,11,0,0,2,22,13,180,0,3,1,5,0,0,8,175,6,46,2,15,8,90,200,200,13,14
Trincomalee,2025-05-31,2025-06-06,39,755,0,26,0,2,0,1,1,26,2,92,0,9,1,5,0,0,4,71,0,10,0,3,0,47,100,100,2,39
Kurunegala,2025-05-31,2025-06-06,60,653,2,26,0,11,0,1,0,25,18,415,0,20,1,3,0,1,19,369,7,73,7,247,9,155,100,100,18,60
Puttalam,2025-05-31,2025-06-06,11,362,3,12,1,3,0,0,1,5,3,166,0,28,0,1,0,1,2,87,5,48,2,17,12,92,85,100,3,11
Anuradhapura,2025-05-31,2025-06-06,11,335,1,22,0,6,0,3,0,16,5,262,0,14,1,10,0,0,3,170,2,42,12,330,6,122,87,100,5,11
Polonnaruwa,2025-05-31,2025-06-06,12,141,0,9,0,3,0,1,2,5,9,148,0,1,1,15,0,0,3,95,1,11,2,174,1,37,100,90,9,12
Badulla,2025-05-31,2025-06-06,26,364,1,18,1,8,0,3,0,0,4,168,0,15,1,21,0,0,11,208,0,36,1,20,9,127,94,100,4,26
Monaragala,2025-05-31,2025-06-06,26,431,0,11,0,3,0,0,0,4,14,357,0,23,2,12,0,0,2,77,1,27,4,95,4,55,78,100,14,26
Ratnapura,2025-05-31,2025-06-06,197,2500,1,73,0,5,0,3,0,22,20,777,0,16,1,6,0,1,4,225,2,61,2,100,12,189,70,100,20,197
Kegalle,2025-05-31,2025-06-06,61,699,2,39,1,9,0,9,1,27,17,355,0,7,0,9,0,0,23,408,3,55,0,16,6,125,91,100,17,61
Colombo,2025-05-24,2025-05-30,336,5386,0,15,0,3,0,4,0,5,20,208,0,5,1,10,0,0,19,246,3,29,0,1,29,824,96,100,20,336
Gampaha,2025-05-24,2025-05-30,208,3348,0,22,0,22,0,1,2,55,16,338,0,7,1,6,0,0,12,390,4,63,1,20,11,451,93,100,16,208
Kalutara,2025-05-24,2025-05-30,92,999,1,24,0,6,2,8,2,26,20,307,0,1,0,4,0,0,22,391,0,23,0,1,4,247,87,100,20,92
Kandy,2025-05-24,2025-05-30,126,1433,1,32,0,2,0,4,0,12,2,126,1,29,1,6,0,0,18,216,0,12,1,33,3,312,99,100,2,126
Matale,2025-05-24,2025-05-30,20,667,2,14,0,1,0,0,0,46,7,108,0,3,0,5,0,0,3,58,0,2,6,108,5,65,96,100,7,20
Nuwara-Eliya,2025-05-24,2025-05-30,4,99,3,34,0,4,0,4,0,45,2,55,1,25,0,0,0,0,6,108,0,10,0,0,5,118,94,100,2,4
Galle,2025-05-24,2025-05-30,56,862,0,21,0,3,1,1,3,33,18,363,2,37,1,7,0,1,15,346,0,76,1,2,12,212,92,100,18,56
Hambantota,2025-05-24,2025-05-30,20,398,0,12,0,4,0,0,0,3,15,216,0,14,0,3,0,0,2,182,2,13,9,136,2,61,99,100,15,20
Matara,2025-05-24,2025-05-30,21,722,0,7,0,2,0,1,0,4,9,227,0,10,3,6,0,0,7,195,1,22,1,50,5,75,92,100,9,21
Jaffna,2025-05-24,2025-05-30,35,654,1,44,0,2,0,10,0,25,1,117,6,327,0,2,0,1,8,216,1,16,0,0,6,90,94,93,1,35
Kilinochchi,2025-05-24,2025-05-30,2,58,0,8,0,0,0,4,0,4,2,56,0,11,0,1,0,0,1,3,0,0,0,1,3,24,100,100,2,2
Mannar,2025-05-24,2025-05-30,4,101,0,4,0,0,0,0,0,2,1,19,0,11,0,0,0,0,1,15,0,12,0,0,0,22,97,100,1,4
Vavuniya,2025-05-24,2025-05-30,2,41,0,7,0,0,0,1,1,28,4,56,0,7,0,0,0,0,1,21,0,13,1,11,2,25,95,100,4,2
Mullaitivu,2025-05-24,2025-05-30,1,35,0,4,0,0,0,1,0,2,0,46,1,7,0,0,0,0,0,17,0,4,0,1,0,15,93,100,0,1
Batticaloa,2025-05-24,2025-05-30,53,1246,1,85,1,11,0,0,2,79,6,58,0,1,1,16,0,0,5,102,0,19,0,1,0,62,81,100,6,53
Ampara,2025-05-24,2025-05-30,14,340,2,38,0,10,0,0,0,20,12,167,0,3,0,4,0,0,7,167,2,40,1,13,4,82,162,200,12,14
Trincomalee,2025-05-24,2025-05-30,43,716,0,26,0,2,0,1,0,25,4,90,0,9,0,4,0,0,7,67,1,10,0,3,11,47,83,100,4,43
